method,model,dataset,loss,accuracy,auc,loss_test_hosp_0,accuracy_test_hosp_0,auc_test_hosp_0,loss_test_hosp_2,accuracy_test_hosp_2,auc_test_hosp_2,loss_test_hosp_3,accuracy_test_hosp_3,auc_test_hosp_3,AUC_tumor,AUC_stroma,AUC_complex,AUC_lympho,AUC_debris,AUC_mucosa,AUC_adipose,AUC_empty,AUC_Atelectasis,AUC_Cardiomegaly,AUC_Consolidation,AUC_Edema,AUC_Pleural_Effusion,AUC_0,AUC_1,AUC_2,AUC_3
fc_then_full,resnet50v2,malaria,0.08721174299717,0.971456229686737,0.994431018829346,,,,,,,,,,,,,,,,,,,,,,,,,,
fc_then_full,resnet50v2,malaria,0.081705935274319,0.976269266718629,0.99712428567567,,,,,,,,,,,,,,,,,,,,,,,,,,
fc_then_full,resnet50v2,malaria,0.100447866616422,0.962732170865655,0.99062498432487,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,resnet50v2,malaria,0.225372329354286,0.915820002555847,0.96915990114212,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,resnet50v2,malaria,0.223626736725944,0.921839348802986,0.981568154547678,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,resnet50v2,malaria,0.226459614954098,0.907883616459499,0.961460662270922,,,,,,,,,,,,,,,,,,,,,,,,,,
fc_then_bn,resnet50v2,malaria,0.100602090358734,0.968795359134674,0.991671442985535,,,,,,,,,,,,,,,,,,,,,,,,,,
fc_then_bn,resnet50v2,malaria,0.106747099284184,0.95731243680926,0.989686660207617,,,,,,,,,,,,,,,,,,,,,,,,,,
fc_then_bn,resnet50v2,malaria,0.093824519402905,0.973299638880996,0.995090082281406,,,,,,,,,,,,,,,,,,,,,,,,,,
random_weights_bn_and_fc,resnet50v2,malaria,0.145510286092758,0.951862573623657,0.984683811664581,,,,,,,,,,,,,,,,,,,,,,,,,,
random_weights_bn_and_fc,resnet50v2,malaria,0.178262216291826,0.927654447313271,0.970797438224622,,,,,,,,,,,,,,,,,,,,,,,,,,
random_weights_bn_and_fc,resnet50v2,malaria,0.375101506710052,0.871069192886353,0.929397821426392,,,,,,,,,,,,,,,,,,,,,,,,,,
random_weights_bn_and_fc,resnet50v2,malaria,0.413135760577495,0.856723182319491,0.925817465133975,,,,,,,,,,,,,,,,,,,,,,,,,,
random_weights_bn_training_and_fc,resnet50v2,malaria,0.204559653997421,0.923560738563538,0.973998010158539,,,,,,,,,,,,,,,,,,,,,,,,,,
random_weights_bn_training_and_fc,resnet50v2,malaria,0.238847305179657,0.901145989751012,0.923224372127706,,,,,,,,,,,,,,,,,,,,,,,,,,
random_weights_bn_training_and_fc,resnet50v2,malaria,0.223669523394502,0.903059211645697,0.973311430914108,,,,,,,,,,,,,,,,,,,,,,,,,,
moving_bn_and_fc,resnet50v2,malaria,0.212881281971931,0.918238997459412,0.972678363323212,,,,,,,,,,,,,,,,,,,,,,,,,,
moving_bn_and_fc,resnet50v2,malaria,0.21177769850492,0.919559964274939,0.976909835660682,,,,,,,,,,,,,,,,,,,,,,,,,,
moving_bn_and_fc,resnet50v2,malaria,0.209195933785815,0.927858156985274,0.977633819655409,,,,,,,,,,,,,,,,,,,,,,,,,,
fc_then_full,inceptionv3,malaria,0.101412393152714,0.964199304580688,0.992963373661041,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,inceptionv3,malaria,0.279702723026276,0.884131610393524,0.951988816261292,,,,,,,,,,,,,,,,,,,,,,,,,,
fc_then_full,inceptionv3,malaria,0.096262864768505,0.965650677680969,0.992684304714203,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,inceptionv3,malaria,0.280590444803238,0.881954550743103,0.95132839679718,,,,,,,,,,,,,,,,,,,,,,,,,,
fc_then_full,inceptionv3,malaria,0.097190029919148,0.966134488582611,0.993378758430481,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,inceptionv3,malaria,0.279605835676193,0.881954550743103,0.952271044254303,,,,,,,,,,,,,,,,,,,,,,,,,,
fc_then_bn,inceptionv3,malaria,0.121411092579365,0.958635687828064,0.989842653274536,,,,,,,,,,,,,,,,,,,,,,,,,,
fc_then_bn,inceptionv3,malaria,0.127805441617966,0.955249130725861,0.988637447357178,,,,,,,,,,,,,,,,,,,,,,,,,,
fc_then_bn,inceptionv3,malaria,0.134192258119583,0.950411200523376,0.987545192241669,,,,,,,,,,,,,,,,,,,,,,,,,,
